sentence1	sentence2	label
no sry	1 ore 1 wheat?	Result
not me, 	sorry	Comment
i need wheat...	can offer sheep or wood	Continuation
:d	*sigh*	no_relation
gent	that's chivalry	Continuation
amy: you want clay?	yup	Question_answer_pair
highway to heaven	cheshirecatgrin ended their turn.	no_relation
not going outside :d	i was going to...	Contrast
err.	can you chuck in a peice of wood?	Q_Elab
1 brick for 1 sheep	i'll give you a sheep for a brick.	Acknowledgement
anyone willing to buy some wood?	cant sorry	Question_answer_pair
but i needed ore	... from gotwood4sheep	no_relation
anyone have wheat for sheep?	1 for 1?	Q_Elab
first time here.	so will be a bit of a learning curve.	Result
if we could	:)	Comment
nope,	sure!	no_relation
please remember to send me the questionnaire.	sure.	Acknowledgement
i had no cards	ahh	Acknowledgement
i have wood to spare	ore would be lovely	Continuation
nancy: you done yet?	thinking:)	Question_answer_pair
sorry	it snot your fault,	Comment
or 2 wheat for 1 of each	just got wood for wheat..	Question_answer_pair
i could do one	but i am half asleep.	Contrast
what about a wood or a brick?	nah,	Question_answer_pair
does anyone have sheep?	i'll trade a sheep for brick.	Question_answer_pair
anyone want wood for either wheat or clay?	nope,	Question_answer_pair
any wood around?	nope	Question_answer_pair
i can give clay or ore	can i have clay please	Q_Elab
you got wheat?	coz you stole my sheep	no_relation
either of you have sheep?	sorry	Question_answer_pair
kk thought i'd ask :d	gotwood4sheep made an offer to trade 4 sheep for 1 clay from the bank or a port.	Result
gotta check the right colour box ;)	thx :d	no_relation
hey guys -	ok,	no_relation
yeh,	ore for clay?	Q_Elab
go for it.	... from gramos	no_relation
and i alt tab back from the tutorial.	do you want to trade?	no_relation
now i just need to roll elevens	will you trade wood?	Q_Elab
who are you	briain	Question_answer_pair
well don!	please fill in your questionnaires.	Result
agnes does...	i traded, and built road!	Correction
you know that in a 4 player game, there's only a 47.5% chance the	i thought i'd be in trouble earlier	Elaboration
no,	it's all in the ground lining my road	Explanation
i can offer brick....	take your pick,	Correction
yes,	oh wait	no_relation
sparkles would you like sheep or wheat for ore?	...no,	Question_answer_pair
shouldn't have laughed..	woodnsheep ended their turn.	no_relation
for clay?	charlotte ended their turn.	no_relation
haha, well played yourself	ta :d	Comment
i was looking for 2s	no sorry i have a wood	no_relation
have you still got ore?	i'll trade 1 for 1	Elaboration
no clay for anything	nope,	Question_answer_pair
i'll take the ore	cool	Acknowledgement
if he not here, 	he's removed from the league	Conditional
for?	woo...	Question_answer_pair
i can't modify	any word processor should do.	no_relation
anyone want to give me brick or wood?	i can give you a wood.	Question_answer_pair
yes	thanks	no_relation
the report and/or questions of liability are most important	checking they've filed an accident report	no_relation
competitive :)	yeah!	Acknowledgement
i can offer a wood and a sheep for 1 wheat.	anyone?	Continuation
is matt sits that one out :d	if*	Correction
anyone have wheat for ore?	nope	Question_answer_pair
if hes not here	brb	Narration
not	until people start rolling 8's :p	Elaboration
anybody have ore?	i have spare wood.	Elaboration
anyone have clay for sheep?	ljaybrad123 ended their turn.	Result
oh wait,	you want wheat?	Elaboration
hi	you can continue even if one player leaves	Continuation
ok cool.	if we're all good	Continuation
wanted seven,	got 10?	Contrast
kittles, are you there?	wts hapning?	Clarification_question
