sentence	label
"""something saleable; something worth reading, worth writing!"	high
austin, texas -- tom karnes was dialing for destiny, but not everyone wanted to cooperate.	low
give or take.	low
that's why i want to extend my appreciation for your last membership contribution of $500.	high
oy waertsilae is to contribute 200 million markkaa, most of it as subordinated debt, and take a minority stake in the new company.	low
"""what about my crewmates? why didn't you save them?"""	high
that was nice of you.	high
"""the rosa parks of the gay movement"""	low
people clung to vague ideas of worker collectivization, but no one could really fathom exactly how that would work; the people of youngstown were, after all, not particularly familiar with socialism or collectivization in general.	low
"and to play well this season, we have to let last season go."""	high
there are factory showrooms in the pedder building, 12 pedder street, in central.	low
when i came to the door at the end of the room, it looked like it had been torn off its hinges.	high
and i think you will be, too!	high
today you have the opportunity to join this successful cause by becoming a member of nwf for as little as $15 .	high
cliques form in any decent-sized group of people.	low
it was huge and inefficient, and she should never have spent so many pesos on a toy, but papa would not let her return it.	low
this is part 4 of a 4-part series on tourism's impact on cape cod.	low
april 27, 2009 9:53 am padraic: why aren't you a supporter of cap & trade?	low
in the 19th century it became fashionable for bourgeois women to dress in white, while men dressed in black (wigley).	low
neither do the rest of us who feel the positive results of their success.	high
the code will be similar to the object identification subroutine and may look something like this:	low
moore is not from colorado -- his question is generic, not meant to refer specifically to the lockheed martin plant in question.	low
the program is coordinated with the university of the district of columbia.	low
all in all, it is an accurate portrayal of america's gun and violence culture.	low
nearby is chater garden and a number of notable architectural landmarks.	low
"""you know i wouldn't come to you if i could get this information another way,"" said nepthys apologetically."	low
heald supreme court decision that did away with protectionist state alcohol laws.	low
mississippi— the official registration and financial information of hsus maybe obtained from the mississippi secretary of state's office by calling 1-888-236-6167.	low
women protest pakistan demolition	high
it cannot withstand clear-headed scrutiny.	high
las vegas honour for tiger pair	high
"""maybe we're already traveling at the speed of light."""	high
-- carl sagan	low
"the words ""his resume is an american dream,"" a quotation from time magazine, appear on the screen."	low
"it is the second intuition which gun rights groups like the nra seek to obscure using fraudulent data by the likes of john ""mary"" lott."	low
i would join the rest of the ship for meals, and i would take my turn in the weight room.	low
there are more than 30 cinemas in hong kong, and the latest western releases are shown in some of the larger ones.	low
this is entirely insufficient.	high
"""what about roger?"""	low
in a way, all this tries to approach terroir from a slight distance; plus the historical distinctions between the two premium distinctive varietal regions, napa county and sonoma county.	low
i thought he might stab you.	high
americans were gloating over this demented corpse show:	high
"""just at this corner,"""	low
asked adrienne.	low
do you mind if we check it out anyway?	low
hong kong's other, less developed islands, lantau, lamma, and cheung chau, provide getaways.	high
you can even calculate the money you save on gas, and keep it in a jar for a rainy day.	low
"""yes."""	high
she gave me a look, pitying and a little pleased that she got to be the one to share the news.	high
imprisoned light from forgotten streetlamps snagged itself on metal threads in the fluttering pesos.	low
group: video shows chopper go down	high
really?	high
"""i had a perfect story in my pages; my hero returned home and reclaimed his love, i nearly had it tied together before…"""	high
he played for george allen, jack pardee and joe gibbs.	low
she has good blood under her cheeks.	low
ralston shares closed yesterday at $80.50, off $1, in new york stock exchange composite trading.	low
the instant would have been improved had my baby shoes been cleaned before they were encased.	low
dear cardmember:	low
as long as i looked at it, it didn't reveal any magic sparkle or glow.	low
a third motor will lift and lower the grippers, allowing antie to raise and lower gripped items as an ant would by raising and lowering its head.	high
opening a side drawer, he took out a piece of paper and his inkpot.	low
dvorov tried to peek through the crowd, but it had shifted again and we couldn't see a thing.	low
iraq car bombings kill 22 people, wound more than 60	high
for a membership gift of just $15, you will receive a full year of the world's most beautiful nature magazine, national wildlife.	high
ninety seconds from the bomb drop, tibbets put the plane on auto-pilot.	high
"how were you found?"""	high
to wit: in 2009, david helped launch the truro ag fair -- an event that exceeded all expectations and brought huge crowds to local farmers' booths.	high
"""amy."""	low
"it won't be long before nightfall."""	low
hackers attack root servers	high
his lips contorted as if they had lost their ability to shape sound.	low
other insects and creatures, including other species of ants, are present in the desert, but red harvester ants seem to be relatively undisturbed by these animals (gordon, 7-11).	low
we were all quiet for a moment.	low
she told me that she was heading for a drink and slipped out of the crowd.	low
it also appears in stir-frys, especially those based on pork.	low
gotta love that understatement and comic timing.	high
"he accents the illusion of reality --i paraphrase his entry in la enciclopedia humanica --by doing life-size scenes in ""the full round,"" never the easier frontal or three-quarters view."	high
but in 1933, president franklin d. roosevelt took the united states off the gold standard, and ordered all the 1933 saints already manufactured destroyed, save for two reserved for the smithsonian institution.	low
talks begin on somalia peacekeepers	high
"the second mobster told tokhtakhounov that the federation official ""is close to us -- he is a good guy, he will do it."""	high
self-preservation above all else, unless the right situation arises.	high
also in front of the ferry terminal is a new cyber fountain, with 86 water spouts that shoot up to 70 m (230 ft) and are illuminated at night by 288 spotlights producing 80 colors.	high
it's easy to imagine what bay area chefs like alice waters or michael mina might have to say about julia child on her 90th birthday.	low
for the play of light and form was key in demonstrating the true art form.	low
linking the lowland and highland sections of the park, a cable-car system offers spectacular views across to the islands of the south china sea.	low
the wrapping paper and matching gift cards feature delightful holiday wildlife images that will come in handy for wrapping your last minute presents.	high
on the coast, sandymount, dollymount, and killiney strands are the places to go.	high
the temple is one of the many dedicated to tin hau, goddess of seafarers; this one also houses an altar to shing wong, the city's god.	low
imagine the difference the community could make if each congregation pledged its support of one big sisters match!	high
"""according to a recent national poll conducted by the center for alcohol policy, 79% of respondents support the right of individual states to set their own laws and regulations surrounding the sale of alcohol and 87% agree that state and local laws regarding alcohol regulations should be decided by lawmakers and citizens, not by judges."""	low
"""if you can't make a buck, you get out of the business."""	high
lilienfeld feels that many clinical psychologists already receive inadequate training in fundamentals such as research design and evaluation.	low
"""thanks."	high
i travel way too much.	high
"""although other units of lockheed martin corporation elsewhere in the country produce weapons to support the defense of the u.s., we make no weapons at the littleton-area facility moore visited."""	low
adrienne met her gaze.	low
"when there's a boycott, lassen said, ""it's not environmentalists or chefs making the sacrifice, it's coastal communities."""	low
if you could see them, i know you would want to help.	low
it's just unnecessary.	high
for this reason white walls are favored over colored ones for both galleries and architectural spaces.	low
i remember that he hardly ever moved, just stared at rachel.	low
i like twilight!	high
"""you seen enough, man?"""	high
i do not like to ask for money no one does.	low
name address city, st zip	low
now you do it.	high
fight starts over hpv vaccine	high
"..i had my second chance to change my life."""	high
in these two stories, the femme fatale madame white snake is going to live on in the minds of readers not as the shrunken snake trapped under a pagoda, but the sexy, aggressive woman who took a weaker human man as her lover.	high
i stared at the naked tasha.	high
"the next thing that comes out of your mouth is probably what she'll respond to until we figure out how to put her back."""	low
i was now one of them.	high
i have sent you the enclosed complimentary name-and-address labels to call your attention to the work of the aspca.	low
even in the wake of successful suits that challenged the protectionist laws that wholesalers originally pushed, the state retained extraordinarily broad authority to maintain a robust system of alcohol controls.	low
"""an olympic champion."""	high
2 ounces) of gold are set daily.	low
so what do you prepare when asked to cook a birthday dinner for america's most famous culinary personality?	high
and this time of year is an occasion to remember those not as fortunate as we are.	low
for 31 years, our name has been associated throughout the world wit saving innocent animals.	low
feeding your brain: new benefits found in chocolate	high
your mom and aunt sound great.	high
they say the cubes will outlast planets and suns, that when the universe dies, the works of malaquez and his followers will be the last things seen in the final wink of god's eye.	high
iran to hit us interests if attacked	high
i turned around.	low
"""no one,"" tasha replied."	low
"""the thing that will really break this market right open is merchandising,"""	low
we are constantly working in every part of the country to save those species and special places that are in all of our minds.	low
'plant'	low
but such heady progress would soon come to a halt.	low
full recovery expected for marathon winner	high
bears watch as lead slips away	high
no time for questions.	low
two of the largest places to go are the wah tung china company in the grand marine industrial building in aberdeen; and the overjoy porcelain factory in block b of the kwai hing industrial building, kwai chung, in the new territories.	low
thanks, mamahun.	low
now we have entered an era where we are seeing once again more color, but perhaps it is human instinct, to want to surpass and rebel against generations before, so possibly we shall return to a state of non color veneration.	low
"roy!"" chad called, but his voice would only whisper"	high
"implementations of chemical gradient following robots using two sensors on ""antennae"" stalks has been successful in with analog robots in the past (webb, 1998), regardless of the potential problem of airflow causing a disturbed gradient over evaporating pheromones."	low
win a (concert) date with the police	high
casino operators had to reassess the nature of their business.	low
your support of goodwill will provide job training and placement services to help the hardest to serve in central indiana find meaningful employment.	low
meridian national corp. said it sold 750,000 shares of its common stock to the mcalpine family interests, for $1 million, or $1.35 a share.	high
additionally, there is a reluctance to share the data required for accurate emissions measurement due to perceived potential risks, possibly related to future regulatory concerns.	low
after all that – so near the end, to lose control again.	high
"maybe i'm the only one who's embarrassed by that."""	high
a film star in kampala, conjuring aminos ghost	low
"""it was part of the price for this girl, who was a rock at the time,"" explained nepthys."	high
"before you begin shopping, pick up hkta's ""shopping guide to consumer electronics. """	low
reports: harvard set to name first female president	high
it is the typical right-wing reaction which looks for simple answers that do not contradict the republican mindset.	high
let our families and children know that you want them to have the same kinds of memories of the holidays you will have.	low
these gardens used to belong to the governor's mountain lodge, but the building was demolished by the japanese during the occupation of hong kong.	low
4th person dies after receiving flu shot	high
rather, the only actual choice is whether or not to be open with one's sexuality and sexual preference; whether to act on one's sexual desires, whether to tell others about such feelings, or whether to live a whole life as a lie and suppress these attractions (marcus 9).	low
therefore, they decided to withdraw support and let the local branch fight it out alone.	low
china and japan were not on speaking terms, so trade between them had to be channeled through a neutral middleman.	low
"it would be a great help to us."""	high
the dutch sent an invasion flotilla to macau in 1622, but the defenders triumphed.	high
she nodded at the package.	low
therefore, the committee . . . expresses its determination that your actions and failure to act led to violations of senate rules (and related statutes) and created at least the appearance of impropriety, and you are hereby severely admonished.	high
his hair fell loosely across a face that seemed always to have a knowing smirk hidden just beneath its surface, infusing his body with a rakish energy.	high
animals don't ask for much of us.	low
taste, hearing and touch became a single blur, and i do not know if my eyes were open.	high
ready-to-wear clothes.	low
with its vibrant atmosphere and night-and-day activity it is an intoxicating place.	high
on a sunny sunday afternoon, the waiting list was an hour long.	low
"""she left."	low
township tourism booming in south africa	high
"""come on,"""	high
"""i am madame entera, at your service."	low
for a moment, allan could hardly do more than shake his head.	low
comedian says government silences critics	high
japan's economy grows	high
"""look what i found,"""	high
this relationship is somewhat obscured by measures 51-57 however; while there is no clear tonal center for this section, g appears in the outer voices in measure 51, although the harmonic material is reminiscent of c minor.	low
on the inside walls are flowered blue tiles (azulejos) and coats of arms.	low
ralston purina co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.	low
"""we're gaining 1,200 new customers each week,"""	high
membership in the audubon activist network will also be yours.	low
and in thanks for your gift of $15 or more, you 11 receive a free birdfeeder.	high
when young, the flavor is relatively mild, with a fresh, sour note.	low
self-conscious.	low
hussein's niece pleads for father's life	high
we should get started right away.	high
many hong kong residents and visitors take the express train to guangzhou to play at the guangzhou luhu golf and country club (tel. 2317 1933 in hong kong or 020-8350 7777).	low
cheney to congress: can't run iraq war by committee	low
"""that's amazing!"""	high
"""i decided that… since i wasn't having much success with more – traditional – stories, i might see what sort of work i produced if i let my imagination go freely,"""	high
allan sat down at his desk and pulled the chair in close.	low
we have already mentioned that the first theme group is in f—this is made clear from the onset, both in the melodic line and by the f minor triad that occurs on the downbeat of measure 77.	low
""""	low
outside the terminal, you will find taxis as well as buses to all points (take 3, 3a, 10, or 10a to the historic center; exact change is required).	low
svindal claims are golden double	high
"i don't know how he could've been heard over the music."""	low
"""okay, rachel."	high
to control for this behavior, antie's explore subroutine will display a preference for exploration in places where there is a low gradient of nestmate pheromones.	low
my problem is that it was not made in this realm, but by a human, and only a human may handle it.	high
in fine tourist tradition, most homes on vega iv are named.	low
"""this is a criminal act and it certainly puts things in a different league,"" howard said."	high
answer 34,700 opportunities to change a life!	high
"""no, thank you,"""	low
"""i …i noticed him from across the room when i was looking around for rachel."	high
vista's hyped security will be tested	high
i'm also hoping you know that you play a vital role in achieving our conservation goals around the globe.	high
"first,sign and return your petition to the secretary of agriculture immediately, to declare a firm and resounding ""no!"""	high
and apparently, they all go to work in publishing.	low
the fascinating collection of artifacts pertaining showcases 6,000 years of hong kong's history and chinese culture.	high
right now, some particularly nice ones are in bay area farmers' markets.	high
"""oh yeah, man."	low
we are asking you to consider sponsoring one of our families for this holiday season.	high
what if it didn't work?	high
be sure to look around and compare before buying.	low
federer handed tough aussie draw	high
in addition, we will have soft drinks and a raffle, so that you can walk home with a great prize!	high
japanese karaoke bars have now become extremely popular with the locals.	high
tell the store owner what you like, and see if he'll carry it.	high
"as example 10 shows, the chords are more-or-less in duple meter (4/8 and 2/8) with one ""hiccup"" occurring in the 5/8 measure."	low
"i'll figure it out, then i'm going to find a way home."""	low
and who plans to commit such a mass bird killing?	low
"""i just wanted to be a part,"" said starke, who is certain he is the lone redskin, past or present, who lives in the city."	high
come one, come all to the inaugural jameson grill	high
does anyone else know about this?	high
"carl mccall"" appear on the screen."	low
wilson, 182.	low
you suck.	high
chilean seabass, also known as patagonian toothfish, came into vogue in the 1990s in u.s. restaurants and fish markets.	low
"however, as previously mentioned, c acts as a ""fake"" dominant that in measures 149-155 actually functions as an upper neighbor to b, the ""true"" dominant."	low
pretax profit fell 3.7% to #128 million from #133 million and was below analysts' expectations of #130 million to #135 million, but shares rose 6 pence to 388 pence in early trading yesterday in london.	low
turkish writers say efforts to stifle speech may backfire	low
said kishori.	low
"dobbens reasoned that most parents would not raise their children to be homosexual; ""they're not like 'my child's going to be gay!""'"	high
the factory will produce a wide range of specialized semiconductors used in everything from the largest mainframe computers to cell phones and video-game consoles.	high
my girlfriend rachel and i would go to the clubs near our school.	high
i watched adrienne's eyes move from one face to the next.	high
john grisham set for court drama	low
arthur's face assumed a long-suffering aspect of authoritative exasperation.	high
"""tasha --"""	low
was prince's super show too revealing?	high
department stores.	low
zheng shook his head.	low
"tell her that nepthys is here to see her."""	high
the crew was horrified by the purple mushroom cloud that climbed to 10 miles and looked as if it would engulf the enola gay.	high
"""major figure in international eurasian organized crime,"""	low
i've been thinking about the mindwipe, now two days away.	low
"susie tompkins buell, socialite and political activist who co-founded the esprit de corps fashion company: ""when i think of julia child i think of the television episode where she's showing you how to make a turkey dinner and the turkey fell on the floor."	high
furthermore, with the advent of industrialization the invention of new synthetic dyes meant that color in dress became democratized for all classes.	low
in effect, it raised the hopes of workers without having any real chance at saving anything.	low
dtv allows you to receive up to 29 channels of hbo, showtime, cinemax, the movie channel, starz! and encore.	high
the dark glow grew stronger and larger, filling the air for about a foot around her hands.	high
by the end of the evening, when i finally followed the slow trickle of people out of the room, a satisfying haze had settled on my mind.	low
"""ah."""	low
fine wines in british columbia	high
this sequence of intervals is the inversion of those found in the second head motive of the first theme of the exposition, shown in measures 2-3 of example 8.	low
the best indicator i can give you of the positive effect our year-round contact has is the growth in and deeds of the youth leadership teens.	high
"the very first thing that the workers could do was ""to get up a petition to stop the shutdown,"" says ed mann, a local union leader and organizer."	low
2. rush a special donation to help our alaska allies overturn this odious new law.	high
new mars orbiter spots pathfinder landing site	high
however, it reflects on a greater level both the desire of many mayans to assimilate, as they still feel that is necessary for social mobility, and a belief among the general population that mayans do not require a separate bill of rights as they are covered under the general rights already in the constitution (warren 2002: 159, 172).	low
"traveling on this ship."""	high
a woman, introduced as tiffany and neither tall nor beautiful, shrugged.	low
the white of the walls intensifies the color of what is set before them.	high
march 3, 2008 11:20 pm	low
either way, it's nice to see a restaurant built on ethics that also happens to be incredibly busy.	high
we've made your card easier to use with features you can customize yourself… more valuable with special savings programs.	high
next time you're in detroit, please head over.	low
nobody gets laughed at alone in my presence.	high
"""no, but we got a tip that he might be in your club."	low
the vampire was walking just steps ahead of me.	high
we're a couple months late buying credits for last year.	high
"""i will help you find your rachel."	high
"""i have never seen as much interest in the sale of any coin in my 30 years in the business,"""	high
i spent the past weekend there.	low
"""are there patterns?"""	high
patients who receive canine or feline visitors are found to have lower blood pressure and improved appetite and be more receptive to therapy, says mary ann o'loughlin, program coordinator.	low
the stars themselves might have fallen on the undersider and the event would have been no less strange, no less miraculous.	high
you told me about this, but it has to be seen to be believed (not that i didn't believe you!).	high
it is built in a square, and the only way in is through the gate in the brick defensive wall.	low
"purely for the sake of the race, of course --"""	high
this is what i wanted to show you.	high
"why is it important for someone making ""sonoma coast pinot noir"" or ""sonoma valley zinfandel"" to help promote ""sonoma county"", a designation that has no ability to define the quality or character of the wines in my sonoma coast pinot noir or my sonoma valley zinfandel?"	high
ottawa must redefine 'terror'	high
'good'	high
"thank you!"""	high
roy shuffled off without argument, his baseball cap pulled low to cover his bald head and brain plug and his shoe laces untied.	low
new york city may ban ipods while crossing street	high
the senior of the three executives who will assume mr. reupke's duties is nigel judah, 58, finance director and a reuters board director.	low
heston maganimously holds up a hand to read the mayor's letter (only to explain in detail why he chose to ignore the request -- not mentioning at all the reasons you have given!)	high
just then tucker blinked and began to sob.	high
"""experience. excellence. carl mccall"""	high
but in fact, once news of the handover vanished from the front pages, the people of hong kong returned to their usual topics of conversation: the economy and the price of housing.	low
karnes was tibbets' adjutant, the man in charge of writing the orders and cajoling the transfer to the unit of servicemen proficient in bombing, mechanics, ordnance, engineering and communications.	low
for this school, once they are in, all they have to do is come every day, come on time every day and work hard.	high
he ran down a hallway and slipped behind one of the doors, but nepthys was close behind him and left it open for me.	low
harmon was an excellent addition to the bridge team, but was she open minded enough to defy united earth command and sever all ties from earth?	high
italy's dispute with us over iraq shooting	high
"""oh."""	low
we go to movies, dinner, concerts, and other stuff like that, but i have also been able to participate in charity events and fundraiser type things.	low
travel+leisure: next island hot spot: st. lucia	low
he's somewhat of a man brain trust , and one of his best creations is the troy bike rescue .	high
after i realized this, i left my quarters.	low
macau's own currency, the pataca, is pegged to the hong kong dollar, and you can use your hong kong currency freely in macau.	low
in colombia this resulted in a civil war between the liberal and communist parties and conservative party.	low
malaquez was not prepared for me to react so quickly, or perhaps he waited too long for an expression i would not have, a gesture i would not make, a poignant moment of repentence, wonder, despair, or love.	high
this intersection of language and indigenous identity poses challenges which have yet to be fully addressed.	low
well, if she didn't pan out, she'd be terminated.	low
"tell me, or i'll kill --"""	high
"""i did a lot of walking, got an interview and got a job and an opportunity of a lifetime,"""	high
except it's worse here because they have centuries to grow disaffected and flirt with exciting and dangerous elements of society's lowest rungs.	high
"""choice,"""	high
one of the most prominent, lasting influences is that of the land grant system. initially the spanish government attempted to instate the encomienda system, in which a conquistador maintained direct control over the indigenous peoples and their land.	low
"""girlfriend troubles."	low
"""nardo!"""	high
the 72-par course was designed by dave thomas.	low
measures 95-130 contain a mostly chromatic descent from c to e♭, where e♭ is anticipated throughout as a goal tone for the bass.	high
penis!	high
surprises spring up on all sides: new industrial complexes alongside sleepy farming villages, skyscraper towns blooming in the middle of nowhere, hakka women in their traditional flat straw hats with hanging black curtains, water buffalo, and flashes of azalea everywhere.	high
stinky but true: men's sweat is made for love	high
official laughs for borat	high
man admits uk-us terror bomb plot	high
iran steps up production of weapons-grade uranium	high
i guess, thinking back, i might have expected him to gloat, but the view was the kind of thing that humbles you, shuts your mouth.	high
panda cub makes her debut	high
the code may look something like this:	low
ahh, the classics.	high
las vegas would serve as a major stopover for crew rest and train repair.	high
he laughed.	high
"–would you do us the kindness of helping us to identify an individual?"""	low
dd acquisition corp.	low
so, please sign the enclosed citizens' advisory ballot to lend your moral support to our alaska friends and return it in the enclosed envelope with a special donation.	low
(however, for the purposes of this paper, homosexuality will be looked at solely in terms of men).	low
what kind of work does goodwill do?	low
we should get going, though.	high
barbaro's legacy: saving other horses	high
p.s.	low
jose went into wednesday's game hitting .304 and had thrown out 33 percent (two of six) of baserunners trying to steal.	high
a prosperous tourist district, it is full of shopping centers and department stores, along with a number of good restaurants.	high
i intend to discuss it in more depth later, so stay tuned.	low
he was already there, sitting in a booth, warming his hands on a cup of coffee.	low
on weekends, instead of driving to the park, hop on your bike and go exploring.	high
