sentence1	sentence2	label
when stock prices moved broadly lower	the dow jones industrial average fell 26.23 points to 2662.91	Restatement
in the u.s., pcs commonly perform many tasks and plug into a broad network	in japan, many desktop terminals are limited to one function and can't communicate with other machines	Contrast
but beyond this decorative nod to tradition, ms. bogart and company head off in a stylistic direction that all but transforms gorky's naturalistic drama into something akin to, well, farce	the director's attempt to force some brechtian distance between her actors and their characters frequently backfires with performances that are unduly mannered	Cause
new technologies are changing the way we deal with each other and the way we work	our expectation of confidentiality is being eroded	Cause
they were frustrated by the longer queues at the cashier and the small coins given as change	all of a sudden, prices were no longer in denominations of 100 or 200	Cause
japanese tourists will be told to take care when photographing earthquake damage in san francisco	the association issued an advisory to its 1,685 member agencies following a report from the foreign ministry that picture-taking by japanese tourists in earthquake-stricken areas was causing ill feeling among local residents	Restatement
but the subsequent takeover frenzy has driven them up	the stock traded late yesterday on london's stock exchange at 673 pence, up 19 pence	Cause
"in the the latest quarter, thanks in part to ""batman,"" guber peters earned $5.8 million, or 50 cents a share, compared to a loss of $6.8 million, or 62 cents a share, in last year's quarter"	guber peters stock, which traded as low as $6 a share last year, closed yesterday at $16.625	Conjunction
that before control data scrapped its eta systems inc. supercomputer business this past spring, those costs were running at nearly 35% of group revenue	at the same time four of six design projects were spiked	Synchrony
either way, the overhang is big enough to keep delicately balanced oil markets on edge	even modest amounts of additional output by those with the huge extra capacity and reserves, such as saudi arabia and iraq, could upset the market	Cause
"suspect ""sales"" ads are challenged by the better business bureau of metropolitan new york"	the bureau found that only two of six new york furniture stores could prove their presale prices were higher	Cause
over the next 50 years, $500 billion is earmarked for the program	at current allocations, that means epa will be spending $300 billion on itself	Cause
egg-industry lobbying helped persuade six states to ban mr. maynard's automatic egg-breaking machine because of fears over salmonella	his company, misa manufacturing inc., was forced to seek protection from creditors under federal bankruptcy law in 1987 and has since been liquidated	Cause
if you are a salaried man, amen! 100% captured	if you are a retailer, 50%	Conjunction
with the $3 million received from investors, he took frequent junkets with friends to exotic locales and leased an expensive bmw for his girlfriend, whom he met at the shop where he got his custom-tailored suits	it's amazing the amount of money that goes up their nose, out to the dog track or to the tables in las vegas	Restatement
the dow jones industrials sank 26.23 points, to 2662.91	the dollar also declined	Conjunction
they don't like the risks they are forced to assume when prices swing so drastically	market makers are supposed to keep supplies of stocks on hand to maintain orderly trading when imbalances occur	Restatement
that plan would provide a 30% exclusion to assets sold over a 2 1/2-year period ending dec. 31, 1991	after then, the house measure would boost the tax rate to 28% and exclude from tax the gain attributable to inflation	Asynchronous
many openings for mass cheating, such as questionable tax shelters and home offices, have gaped so broadly that congress has passed stringent laws to close them	deductions of charitable gifts of highly valued art now must be accompanied by appraisals	Instantiation
"those who manage ideology and a large number of writers reacted badly"" to the restyled paper"	after months of internal rumblings, mr. ngoc was fired last december	Cause
in recent years, nissan has instituted flex-time work schedules and allowed employees to dress casually, even in blue jeans	a rule forbidding staffers to own competitors' cars has been lifted, and now many designers drive foreign cars to get useful ideas	Conjunction
one group seeks to publish a u.s.-soviet medical journal in conjunction with the u.s.s.r. ministry of health	according to richard p. mills, a boston-based official of the u.s. partner, 10,000 copies of the quarterly will be printed in russian from next year	Conjunction
in another approach, tiny iverson technology is trying to resume its growth by braving the new world of commercial products	he hopes the company can eventually get up to half of its revenue from commercial markets	Conjunction
the fundamentals don't change in an hour	they should close down the futures exchange and then we could get back to investing	Cause
but the editorial, by jan stjernsward of the world health organization, notes that tobacco consumption and lung-cancer mortality rates are rising in developing countries	"non-smoking should be established as the norm of social behavior"" around the world, the editorial says, through the enactment of laws that limit advertising, boost tobacco prices and promote anti-smoking education"	Cause
it reflects values of a generation that wants more time for families and personal interests	this is a change in the social fabric of medicine	Restatement
on the other hand, so long as mr. gorbachev is easing his grip on his empire, everyone we've heard agrees that the u.s. can benefit by engaging him	if a deal can be made to cut the world's ortegas loose from moscow, why not	Cause
meanwhile, at home, mitsubishi has control of some major projects	it is the largest private-sector landowner of the minato-mirai 21 project, a multibillion-yen development in the port city of yokohama, about an hour outside tokyo	Instantiation
ten days ago he was asked to amplify the reasons behind his anti-abortion stance	"my position is well-known and well-stated,"" he replied"	Asynchronous
help may be on the way	the antitrust division of the justice department is investigating the oddly similar tuition charges and increases among the top schools	Cause
revenue rose 14% to $918.4 million from $806.7 million	"the success of several movies released during the quarter, including ""parenthood"" and ""uncle buck,"" contributed to record revenue for its film unit"	Restatement
the agreement ended a long impasse between the congressional leaders and the white house over the wage issue	president bush in june vetoed a measure passed by congress and said he wouldn't accept any minimum-wage rise that went beyond limits he set early in this year's debate on the issue	Instantiation
the action follows federal express corp. 's acquisition of flying tiger line inc. in august	"after that, ""it would make sense for airlines to talk about doing things jointly"	Cause
of the total purchase price, $50 million cash and $30 million in stock (nearly 1.8 million shares) would be paid to buy the existing 700-room marina hotel & casino from southwest securities, a nevada limited partnership	the remaining properties to be acquired are the tropicana country club & golf course, a facility jointly owned by ramada inc., of phoenix, ariz., and the jaffe family, and a small parcel owned by mgm grand director james d. aljian	Contrast
partly, costs will be held down through strategic technology alliances	an agreement with mips computer systems inc. to jointly develop machines with simplified operating software	Instantiation
he isn't as well-known to clients as is mr. roman	under his watch, office politicking was often rampant in the agency's new york operation and the office there has had a dismal new-business record for more than a year	Conjunction
she is told she can't enter unless she is accompanied by an inspector	she bursts into tears and walks away	Asynchronous
after two mistrials, the stakes in the stock manipulation trial of gaf corp. and its vice chairman, james t. sherwin, have changed considerably	the first two gaf trials were watched closely on wall street because they were considered to be important tests of the government's ability to convince a jury of allegations stemming from its insider-trading investigations	Asynchronous
"given hong kong's record, mr. mushkat's ""realists"" might have sounded unduly conservative when the interviews took place two years ago"	under the current circumstances their scenario no longer seems unrealistic	Contrast
it expects to begin operations in october 1990	it may install additional processing units at the refinery to produce higher octane gasolines and other products	Conjunction
the problem is that on the vital issue of monetary policy and exchange rates, conservative, free-market economists divide into at least three incompatible camps	there are the strict monetarists, who believe that floating exchange rates free an economy to stabilize its price level by stabilizing the monetary aggregates	Restatement
the pentagon justifies its help on national-security grounds	we don't see a domestic source for some of our {hdtv} requirements, and that's a source of concern	Restatement
already, the fight has been costly	the seniority-list controversy, along with the job-classification dispute, has been turned over to the mediator	Instantiation
we really made mistakes	we must not shirk our responsibility	Conjunction
brand loyalty was stronger among older consumers in the journal survey	nearly one-fourth of participants age 60 and older claim brand loyalty for more than 10 of the 25 products in the survey	Restatement
the redmond, wash. company, a bellwether provider of operating systems and software for personal-computer makers and users, reported net income for the quarter ended sept. 30 of $49.6 million, or 87 cents a share, up from $36.6 million, or 65 cents a share, in the year-ago period	revenue rose to $235.2 million, from $176.4 million	Conjunction
but there are limits	retailers nixed a promotion for pins with animal motifs	Instantiation
