sentence	label
"now leave, before i call the rats on you."""	low
an architectural wonder, it is itself a beautiful piece of craftsmanship with its sculpture and carved stone balustrades.	high
would be heathier.	high
google tgi friday's fan woody and it looks pretty good.	high
"""mountain ash,"" said nepthys."	low
there was hardly enough room for his slim frame between the trunks that overshadowed any fleeting mortal trespass.	low
i slipped the little pouch over my back and wiped the knife on his jacket.	low
"""yes,"" i called back, ""i saw him!"	high
the truck maker said the significant drop in net income will result in lower earnings for the fiscal year.	low
tucker made a grab for him but missed it, and chad heard his shirt rip a little.	low
readers of early versions of the story might have been cheering for the defeat of this demon disguised as a beauty, and would have enjoyed reading the stories for the lurid horror details and later her crushing defeat.	high
the saint is much revered in the surrounding area.	high
"i got my picture taken with them and signed a few steve martin autographs."""	high
tailors and housewives busy as muslims celebrate eid	high
on wan chai's bowen road, maiden's rock, also called lover's rock, is the gathering place for the annual maiden's festival.	high
but this post isn't about how melancholy i become when i haven't heard from her by 3 p.m. (which would be midnight over there), because anyone who follows me on facebook already knows that and because this post concerns urbino, not my daily descent into emo.	low
i pulled her into my arms and she tried to put hers around me.	high
"""she thinks you are a genius."	high
just look at the range of services we offer:	high
"""why don't you know for sure?"""	low
it was all right.	high
"""i have no idea!"""	low
on the 23rd day of the third moon, the birthday of the goddess is celebrated here and in all hong kong fishing communities.	high
anywhere?	high
here are four packages with our most popular titles for you at incredibly low prices.	high
your gift will give children and families hope for improved tomorrows.	high
this is the time of year when we give thanks for the warmth and love that surrounds us.	high
i'd never named anyone before.	low
north africa feared as staging ground for terror	low
you may have missed learning the mysteries of the spectacled eider (a duck with an uncertain future) ... missed traveling with us to asia where we found and followed the last wild tigers... missed marveling at the magic of mangroves.. missed discovering in peru the newest bird known to science, the barbet.. .but you won't miss a thing anymore.	high
nope, i wasn't kidding.	low
his brief stop in malaysia also highlighted the moral ambiguities of the effort to prevent terrorism and its emphasis on cooperation with governments that the united states has often criticized.	low
his determination had other results as well: gass was named a justice of the peace and a territorial legislator.	high
"""there was death in d.c. throughout the '80s and into the '90s, and there was death everywhere,"" said starke, who was reared in new rochelle, n.y., and played at columbia."	low
adrienne gestured for him to be quiet.	low
1 mln birds to be vaccinated from bird flu near moscow	low
i take pictures and have ideas and enjoy my thoughts and try to do a little something less about consuming and more about redemption every day.	high
beware of peanut butter pathogens	low
a short time later, the community youth mapping project sent 55 young people out into the community to identify the resources they need to grow up well: caring adults, safe places to go, and positive things to do.	high
"""litigation against the states brought by those wishing to deregulate alcohol for their own economic interests is of great concern to state alcohol regulators, state attorneys general, public health advocates and many others."""	low
please, if we could see him, we would be much obliged.	high
in america, things are still weird after the european conquest.	low
repeat it enough times, it's just a sound.	low
will they argue that state laws banning african-americans from being distributors is legal under the 21st amendment?	low
frantic 911 call in ryan o'neal case	low
the play's second act concludes with the last fight between tasha and me.	low
"""i love you."""	high
the end result of such roundtables, one can only fear, could be that the only books depicting people of color that get published are those that do not challenge white assumptions.	low
if she is working, she is not on vacation.	low
"it won't refill your blood supply, but while that's in your system, you won't even need blood."""	high
back on tinian, karnes had gone to bed.	low
"that lunch lit a spark that made julia decide to take classes at the cordon bleu, which in turn led to her friendship and collaboration with simone beck and louisette bertholle, co-authors of ""mastering the art of french cooking,"" and, ultimately, to america's culinary revolution."	high
"""i was matched with my big sister in june of 1992."	high
roy stepped around the edge of the building and out of sight.	low
isis collapsed on the fur, strings cut.	low
we don't know who is winning the drug war in latin america, but we know who's losing it -- the press.	low
"""ethereal beauty"""	high
she giggled.	high
ottawa must redefine 'terror'	low
big sisters helps bridge that gap by providing children with the resources they need -- big sisters volunteers.	high
chad tried to tell his arms to lift him and let him reach for the tumbleweed to prove he wasn't a baby to tucker.	low
i found myself silently thanking the chicken for its delicious contribution.	high
"indigenous cosmology, or ""cosmovision"", is difficult to translate into romanticized languages; it maintains a concept of culture, defined as ""the form of behavior resulting from a permanent harmonic relationship with nature"" (gow and rappaport 2002: 58) and view of history as cyclic that is often at odds with western modes of thought."	low
"""good evening, gentlemen,"" she said."	high
ex-teacher guilty in nude-pictures scheme	low
male sweat boosts women's hormone levels	high
the growth in popularity and militarism of these popular leftist movements is intertwined with the development of the indigenous revitalization movements.	low
