sentence	label
12the oxygen vent arm and hood removed from the fixed service structure at nasa kennedy space center's launch pad 39b is ready for transfer from the pad to a storage facility, after the pad was transferred from the space shuttle program to the constellation program.	low
15in the vehicle assembly building's high bay 3, a yellow framework, lifts super stack 5 atop super stack 4.	low
17in the vehicle assembly building's high bay 3 at kennedy space center in florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall ares i-x rocket.	low
18the ares i-x rocket, shown in in high bay 3 of kennedy space center's vehicle assembly building is being prepared for this week's launch vehicle readiness test in cape canaveral, fla., monday, oct. 5, 2009.	low
19the 327-foot-tall ares i-x test rocket moves slowly to launch pad 39b from the vehicle assembly building at the kennedy space center in cape canaveral, fla., tuesday, oct. 20, 2009.	low
1. bluetooth isn't turned on prior to trying to connect	low
1) check out this random object we found at a thrift store (via the link below).	low
1. go into the printers control panel and choose printer > add printer.	low
1. go to system/administration/printing 2.	low
1. i know exactly how to convert my itms files to unprottected mp3's (audio hijack pro), but what do i do about videos downloaded on itms (i have a lot of them)?	low
1. is levi johnston screwing with all of us?	high
1.) the european union strikes a climate financing deal.	high
1. where should we park to do this.	high
$200 million in stimulus funds flows to georgia to update power grid: more than $200 million in federal stimulus money is expected to flow into projects in georgia as part of the obama administration's plans to upgrade the nation's aging electric grid.	low
22nasa's ares i-x rocket is seen on launch pad 39b at the kennedy space center in cape canaveral, fla., monday, oct. 26, 2009.	low
23the top section of nasa's new ares 1-x test vehicle is reflected in a pond as an alligator lurks near launch pad 39-b at kennedy space center, florida on october 26, 2009.	low
24the ares 1-x test rocket lifts off on a six-minute suborbital flight from launch pad 39b at the kennedy space center in cape canaveral, florida, october 28, 2009.	low
25nasa's ares 1-x rocket lifts off from launch pad 39-b at the kennedy space center october 28, 2009 in cape canaveral, florida.	low
26a cone of moisture surrounds part of the ares i-x rocket during lift off wednesday, oct. 28, 2009, on a sub-orbital test flight from the kennedy space center's launch pad 39-b in cape canaveral, fla.	high
28nasa's new ares 1-x test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch kennedy space center's launch pad 39-b in florida on october 28, 2009.	low
2. add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/p1  in the device uri field	low
2ares i first stage motor unveiled on july 20, 2009.	low
2) create a story about in in 6 words.	low
2) double click on new printer.	low
2. i have read sites detailing how to dual boot os x and dapper, but is there a way to single boot- only dapper?	low
2. is the cave of the winds hard to walk?	high
2) just wipe the mac os x partition when u install the dapper.	low
2) marty peretz apologizes to matt yglesias.	high
2. select network printer and use the listbox to choose hp jetdirect.	high
2)there are some pools, but most fun can be had at the great beaches/ponds that we have here.	high
2. what the hell isn't he talking about?	high
"2) your print server ip address, which i assume is ""192.168.0.1"", normally it should be the same ip as the gateway, i.e your router ip address."	low
"3) check on the ""network printer"" radio button and choose unix printer (lpd) and enter the ip address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the queue , then click ""forward"""	low
3flames shot more than 100 feet high in a successful 5.5-second ground test firing thursday, nov. 20, 2008 of a launch abort motor for nasa's next generation spacecraft, the orion crew exploration vehicle.	low
3. in the host box type the ip address of your printer.	low
"3. select ""network printer"" and select ""hp jetdirect"" as the type. (instead of default ""cups"")"	low
3) water sports and golf are abundant- and we have some of the greatest cycling in the world, we will be hosting the ironman competition while you are here.	low
"3) you have to determine your print queue name, check with netgear for this, i am using dlink di-724p+ and the queue name is ""lp"", so perhaps you would want to have a try with this."	low
4.) are washing machines the new water savers?	high
"4. in the ""host:"" box, type the ip address of the print server."	low
4)please, do not take the train.	high
"4) ""we find no clear relation between income inequality and class-based voting."""	high
50 kb/s doing scottsdale.az server.	low
5.) harry potter sports an environmental audit.	high
"6. click the ""forward"" button"	high
6) fun, right?	low
6) there are many great restaurants- mirror lake inn, the interlaken, great adirondack steak and seafood to name a few.	low
7 florida utilities and tech firm to receive $264 million: energy grants announced tuesday by president obama include $264 million for seven florida utilities and an orlando technology company, with each grant requiring final negotiations and matching contributions.	low
7. select the printer manufacturer and the model from the lists	low
"8. click ""apply."""	low
8in high bay 4 of the vehicle assembly building at nasa's kennedy space center in florida, the ares i-x upper stage simulator service module/service adapter (left, center) has been installed on a stand.	low
"a $1999 option upgrades the cpu to a ""nehalem"" quad core 2.66ghz core i5 750 processor, or for $200 more, a core i7 860, both of which include 8mb of l3 cache."	high
a 2 room suite or adjacent rooms is great.	high
abbas is fighting a perception among his people that he repeatedly caves in to u.s. demands.	high
abdullah abdullah, karzai's challenger, has threatened a possible boycott, saying that the afghan election commission is in the president's pocket.	high
abdullah complained monday that there were no assurances that the november vote would be fairer than the first balloting and demanded that the head of the karzai-appointed independent election commission, azizullah lodin, be fired.	low
a board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.	low
aboard u.s.s. new york, off virginia - the fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car.	low
about 40 miles from laheri, a processing plant owned by essar steel has been closed for five months.	low
about 60 oiled birds, about half that had died, were found at that site, according to the east bay regional park district.	low
about a month ago, a woman accused sowell of rape and felonious assault, stacho said friday.	high
about a week ago, geohot released an update to his iphone jailbreaking software dubbed blackra1n rc2, and while that was all well and good for all you at&t guys, it did leave those of us who need a baseband unlock on our ipieces wanting more.	high
about two weeks later, the social security administration sent a letter to cms backing her claim of innocence.	low
about wifi-radar: it shows me the same networks as network manager, but it does a better job of getting connected to them.	high
above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs.	low
a british nuclear expert who fell from the 17th floor of a united nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination.	high
a canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.	low
accident investigators who began arriving in san diego on saturday would review communications between the pilots and between the pilots and the faa and military controllers, said capt. tom farris, commander of the coast guard's 11th district.	low
according to a 2009 survey by the center for american progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race.	low
