sentence	label
12the oxygen vent arm and hood removed from the fixed service structure at nasa kennedy space center's launch pad 39b is ready for transfer from the pad to a storage facility, after the pad was transferred from the space shuttle program to the constellation program.	high
13in the rotation, processing and surge facility at nasa's kennedy space center in florida, a technician performs propellant grain inspection of the inside of the ares i-x motor segment.	high
16work platforms surround the ares i-x launch vehicle in the vehicle assembly building's high bay 4 at nasa's kennedy space center in florida.	high
18the ares i-x rocket, shown in in high bay 3 of kennedy space center's vehicle assembly building is being prepared for this week's launch vehicle readiness test in cape canaveral, fla., monday, oct. 5, 2009.	high
19the 327-foot-tall ares i-x test rocket moves slowly to launch pad 39b from the vehicle assembly building at the kennedy space center in cape canaveral, fla., tuesday, oct. 20, 2009.	high
1) check out this random object we found at a thrift store (via the link below).	low
1. i have no clue.	low
1. i know exactly how to convert my itms files to unprottected mp3's (audio hijack pro), but what do i do about videos downloaded on itms (i have a lot of them)?	low
1. is levi johnston screwing with all of us?	low
1) make sure that there is a valid driver for your printer in ubuntu.	high
1. where should we park to do this.	low
20the driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall ares i-x rocket at nasa's kennedy space center in florida.	high
21nasa's ares 1-x rocket rolls out to launch pad 39-b at the kennedy space center october 20, 2009 in cape canaveral, florida.	high
23the top section of nasa's new ares 1-x test vehicle is reflected in a pond as an alligator lurks near launch pad 39-b at kennedy space center, florida on october 26, 2009.	high
24the ares 1-x test rocket lifts off on a six-minute suborbital flight from launch pad 39b at the kennedy space center in cape canaveral, florida, october 28, 2009.	high
25nasa's ares 1-x rocket lifts off from launch pad 39-b at the kennedy space center october 28, 2009 in cape canaveral, florida.	high
26a cone of moisture surrounds part of the ares i-x rocket during lift off wednesday, oct. 28, 2009, on a sub-orbital test flight from the kennedy space center's launch pad 39-b in cape canaveral, fla.	high
27the ares 1-x test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39b at the kennedy space center in cape canaveral, florida october 28, 2009.	high
28nasa's new ares 1-x test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch kennedy space center's launch pad 39-b in florida on october 28, 2009.	high
2. i have read sites detailing how to dual boot os x and dapper, but is there a way to single boot- only dapper?	low
2. is the cave of the winds hard to walk?	low
2. select network printer and use the listbox to choose hp jetdirect.	high
2)there are some pools, but most fun can be had at the great beaches/ponds that we have here.	high
"2) your print server ip address, which i assume is ""192.168.0.1"", normally it should be the same ip as the gateway, i.e your router ip address."	high
3. anyone know about right-clicking on the macbook, with it's one-button mouse?	low
3flames shot more than 100 feet high in a successful 5.5-second ground test firing thursday, nov. 20, 2008 of a launch abort motor for nasa's next generation spacecraft, the orion crew exploration vehicle.	high
"3) ""great beer and great wine are on the same team."""	low
3. i believe you just press ctrl+(click)	low
3) purchase a new 2 button mouse..	low
"3. select ""network printer"" and select ""hp jetdirect"" as the type. (instead of default ""cups"")"	high
3. will the threat of a lawsuit do anything to the palin camp?	low
4.) are washing machines the new water savers?	low
4)from here on, you should be able to carry on, choose the correct printer driver and do a test page after installing.	high
4nasa and atk successfully conducted an ares i main cluster parachute test at the u.s. army proving grounds in yuma, arizona.	high
4)please, do not take the train.	low
"4) ""we find no clear relation between income inequality and class-based voting."""	high
50 kb/s doing scottsdale.az server.	low
5.) harry potter sports an environmental audit.	low
5on sept. 10, 2009, nasa and industry engineers lit up the utah sky with the initial full-scale, full-duration test firing of the first stage motor for the ares i rocket.	high
6at the shuttle landing facility at nasa's kennedy space center in florida, hardware that will be used in the launch of the ares i-x rocket is offloaded from a c-5 aircraft.	high
6) fun, right?	low
6) there are many great restaurants- mirror lake inn, the interlaken, great adirondack steak and seafood to name a few.	high
7:16: we've been honing our act, and we finally got 4 little girls to laugh.	high
7 florida utilities and tech firm to receive $264 million: energy grants announced tuesday by president obama include $264 million for seven florida utilities and an orlando technology company, with each grant requiring final negotiations and matching contributions.	high
"8. click ""apply."""	low
9in the vehicle assembly building's high bay 3 at nasa's kennedy space center in florida, the ares i-x aft center booster segment is lowered for attachment to the aft booster and skirt.	high
"a $1999 option upgrades the cpu to a ""nehalem"" quad core 2.66ghz core i5 750 processor, or for $200 more, a core i7 860, both of which include 8mb of l3 cache."	high
a 2 room suite or adjacent rooms is great.	low
"abbas spokesman nabil abu rdeneh, responding to clinton's comments, said, ""there can be no excuse for the continuation of settlements, which is really the main obstacle in the way of any credible peace process."	high
abbas suspended negotiations over israel's offensive last december in the gaza strip.	high
abdullah abdullah, karzai's challenger, has threatened a possible boycott, saying that the afghan election commission is in the president's pocket.	high
abdullah canceled a planned trip to the indian capital, delhi, to attend a conference there saturday.	high
abdullah complained monday that there were no assurances that the november vote would be fairer than the first balloting and demanded that the head of the karzai-appointed independent election commission, azizullah lodin, be fired.	high
abdullah has called a press conference for 10 a.m. sunday to announce his final decision after afghans and westerners close to the challenger said he would withdraw.	high
a big thankyou goes to holli!	low
a board of inquiry blamed the crash on several factors and ordered removal of the strobe lights.	high
aboard u.s.s. new york, off virginia - the fresh sun warmed sea air swept across the deck of this ship as it continued to push north through the swells on saturday morning, but inside the windowless lower passages, the air was kept bracingly chilly, still heavy with the sterile, mechanical smell of the world's largest new car.	high
about 40 guests were at the halloween party, aged between 59 and 77.	high
about 40 miles from laheri, a processing plant owned by essar steel has been closed for five months.	high
about 60 oiled birds, about half that had died, were found at that site, according to the east bay regional park district.	high
about a month ago, a woman accused sowell of rape and felonious assault, stacho said friday.	high
about two weeks later, the social security administration sent a letter to cms backing her claim of innocence.	high
above all, the web is shifting, from static pages to social media, from search to discovery, and the long-term leadership of that new web is still up for grabs.	high
a british nuclear expert who fell from the 17th floor of a united nations building did not commit suicide and may have been hurled to his death, says a doctor who carried out a second post-mortem examination.	high
a canadian study showed marathoners' blood post-race was like that of a mild heart attack victim.	high
accident investigators who began arriving in san diego on saturday would review communications between the pilots and between the pilots and the faa and military controllers, said capt. tom farris, commander of the coast guard's 11th district.	high
according to a 2009 survey by the center for american progress, a think tank, the majority of millennials focus less than their parents on battles over sexual orientation and race.	high
according to an article in amlaw daily: the firm has revamped its associate model, doing away with associate classes based strictly on entry date in favor of three associate groups that will have formal training from the time they enter the firm until they are ready to be considered for partnership. . . .	high
"according to a source close to the negotiations, rbs is also ""near 100% certain"" to be putting its insurance division back on the market, including churchill, direct line and green flag."	high
according to google, social search will enhance the search experience on google by providing users with more personally relevant search results.	high
according to his son qian yonggang, the kuomintang once invited qian to come back but he refused.	high
"according to insiders, the real ""this is it"" plan was not a single film, but a three-year rollout to rehabilitate jackson's deteriorated image."	high
according to my correspondent, this is a unique chance to sample home-style traditional polish fare, including white borscht, pierogies, blintzes, golambki and much more.	high
according to nutt, tobacco should rank ninth, ahead of cannabis, lsd and ecstasy.	high
according to the battery app, it's the display that's the most power hungry component: 51-percent of the power had been chomped through by that, with voice calls at 16-percent and the android system itself accounting for 8-percent.	high
"according to the news, ""when the nurse called for a student thursday morning, nikiyah's teacher misunderstood and sent the wrong student, [nikyah's mother naomi] troy said."	high
a clouded electoral picture would further complicate the obama administration's efforts to decide whether to send tens of thousands more troops to afghanistan to battle the taliban and its al-qaida allies.	high
acmd report confirms advice that cannabis remain in class c, but home secretary jacqui smith overrules it for the first time in its history and moves drug to class b.	high
a committee of scientists advising the department of health is expected to recommend that the vaccination of 10 to 18-year-olds begins by the end of the year.	high
a convicted rapist who fled before police arrived to arrest him on new rape charges was arrested saturday in his inner-city neighborhood after police found six decomposing bodies at his home.	high
across yemen, the underground water sources that sustain 24 million people are running out, and some areas could be depleted in just a few years.	high
activists dump tonnes of coal in vattenfall protest (28 oct 09)	high
activity through october in each of the world's six cyclone basins, from the north atlantic to the indian ocean, has been at or below historical levels.	high
actually it was an xorg.conf problem.	low
actually, lol, it's a really old one, like 32 mb kinda sad really, this thing belongs more in a museum than in a school.	low
actually, now that you mention it, i think it does only crash after exiting if i have tested the presentation..	low
adams could not be reached for comment, and a phone number she listed at the top of her letter was temporarily disconnected.	high
adams says chaudhry has a solid case, given the fact that none of the convictions are crimes that would make him ineligible for citizenship.	high
"""add a printer"" dialog should show up now"	low
added: i swapped in a slightly different pic.	low
add your shots to the consumerist flickr pool, and perhaps they'll get featured in a future story, or even highlighted in a friday consumerist flickr pool finds post.	high
adipic acid is primarily used in the production of nylon 6-6 and for manufacturing polyurethane foam and polyester resins.	high
"a diplomatic source said: ""lord ashcroft was part of the official party that was organised by her majesty's opposition. his inclusion in the party certainly raised a few eyebrows in washington, because he's a controversial figure."""	high
admission to house; grounds free.	low
a dozen of the 50 wal-mart stores in massachusetts, including the one in raynham, are among the retailer's shops nationwide that will be remodeled by the end of the year.	high
a few days ago we got motorola's droid in the mail.	low
a few of president obama's top advisers, as well as one or two rare guests, sit down on the network sofas this sunday.	high
a few weeks earlier, one of lozano's family members mockingly held up an official-looking document in spanish, hebert said.	high
a few were maoist sympathizers, the man on the motorcycle said, but most were wrongly swept up in the raid.	high
a few years ago, officials built a jungle road that will soon make the school boats obsolete, giving children the option of walking or riding motorcycles to school.	high
afghan electoral law says that any vote cast for a candidate who withdraws will not be counted.	high
afghan intelligence chief amrullah saleh said afghan authorities had advance information that a taliban attack in kabul was in the works but was expected it during rush hour, and officials were unsure of the target.	high
a flamboyant farmworker organizer who called himself a modern-day emiliano zapata has been slain in a brazen ambush that also killed 14 members of his family and staff, officials said saturday.	high
a former government chief scientific adviser, sir david king, also said that nutt had gone too far .	low
a former top executive at hedge fund firm valueact capital is one of seven people charged with trading on inside information in acxiom corp.	high
after a few seconds, you should see a new icon for your printer.	high
after afghan president hamid karzai fell short of the 50 percent required to avoid a runoff, a second round was hastily scheduled.	high
after all, average investors aren't likely to sit down and read an 18-page contract.	low
* after all these years, bush is still a millstone around blair's neck.	low
after a week in which ashcroft's complex finances and use of offshore tax havens have come under renewed scrutiny, opposition mps condemned david cameron for allowing the peer to attend crucial meetings with britain's closest and most important ally as the tories shape foreign policy in preparation for government.	high
"""after beijing was selected, as soon as the ink on the contract was dry, the international olympic committee ceded control of the games to the communist party of china,"" said wallechinsky."	high
after conrad announced her decision to bail on tv in the hopes of leading a more private life focused on her fashion career, producers brought in conrad's old schoolmate, kristin cavallari, as a replacement.	high
after consulting with all three parties that make up the national unity government, delegation head oldemiro baloi, the mozambican foreign minister, told the media.	high
after finishing 2-11 last season in wulff's first year, the cougars have four games left against arizona, ucla, oregon state and washington.	high
after helping her, he set off to return to his sailboat, which was anchored at the avalon harbor.	high
after nichols connected with tyler hart for a 38-yard touchdown pass to give the eagles a 7-2 lead, johnson then intercepted hubel for the second time in the first quarter.	high
after over eight hours use, with push email and exchange active, wifi and bluetooth turned on, and plenty of use, we were still seeing 30-percent remaining charge.	high
after police did not oppose bail, mr zdenkowski set it at $10,000 and imposed strict conditions on corben's freedom.	high
after reading many of your articles and sarah palin's facebook page, i knew it was time to get off the couch!	low
after school, he had picked up a plastic jug of kerosene for his mother, which he stowed along with his green backpack.	high
after some google search, i found that people all mentioned that   in /etc/x11/xorg.conf :  there is a section called serverflags	high
after that, the rounds of final inspections begin.	low
after the incident, almaleki drove to mexico and abandoned his vehicle in nogales, peoria police said.	high
"""after the rate hike last month, the reserve bank said that it wanted to get rates back towards a 'neutral' setting, which has traditionally been five to six per cent,"" mr eslake says."	high
after the visit, it instantly became one of my favorite breweries and still is (but you must like that kind of beer).	low
after they liquored up the girl with brandy, they proposed sex, according to several accounts by friends of those who were there but asked not to be named for fear of retaliation.	high
after two and a half minutes, the main part of the 327-foot (100-meter) rocket splashed down as planned in the atlantic ocean as applause broke out in a relieved and excited nasa control room.	high
a further search of the house and property found two more bodies in a crawl space, and a sixth body was found in a shallow grave outside the home, stacho said.	high
again maybe someone locally can respond.	low
again, thank you for the work you do and please continue to spread the word for the hoffman campaign.	low
a group of popular football players and cheerleaders - notably the school's first couple, quinn (dianna agron) and finn (cory monteith) - have joined the much-scorned glee club, and their friends and coaches (including jane lynch's fabulously demonic cheerleader leader) are tormenting them.	high
ahead of the typhoon, millions of filipinos had boarded buses heading to home provinces for this weekend's all saints day, when people visit cemeteries to pay respects to dead relatives in this devoutly roman catholic nation.	high
aides to the state's congressional delegation noted that massachusetts is already digging deep into its own accounts to help fund its health care system.	high
airport extreme connection, ibook g4...please help!	low
a joint venture between several major networks, hulu delivers free, ad-supported programming via online streams - an untested model for long-term profitability, at least when it comes to television.	high
"a jump in the import index to 52.8 from 50.7 ""shows an acceleration of domestic demand,"" zhang said."	high
a kingwood woman said she supported locke because of the organizations and individuals who back him, such as business groups and unions.	high
a large debris field has been located, and debris has been collected, he said.	high
alistair darling is expected to confirm over the next few days that assets belonging to the two banks, which are majority-owned by the taxpayer, will be sold off to boost competition.	high
alistair darling is to trigger a banking revolution in the next few days that will see well-known names return to the high street.	high
a little bit of that makes sense to me, but not a lot of it.	low
all 14 of the tanks will be used by the chemical steam generators units that will be installed on the a-3 stand for creating simulated altitudes of up to 100,000 feet, a testing environment for constellation, initially to validate the performance of the j2-x engine for the upper stage of the new ares i launch vehicle.	high
all boosted by the frictionless billing that apple has created in the app store.	low
all circles in queensland support development of the australia-china friendly and cooperative relationship, bligh said.	high
"""all hands need to be on deck."""	low
all i can do is guess.	low
all it needed was a spark - the elements were already there.	low
all it took for things to lurch out of control, investigators, students and community leaders say, was opportunity - and that came when the girl left the school dance saturday night, walked by a group of bad boys boozing hard in the unlit courtyard, and accepted their invitation to hang out.	high
allright, that might be it.	low
"""all the ones that have contacted me are considering their positions,"" he said."	low
all the support he gets will help guarantee our country a much needed victory.	low
all the video from the l.a. rehearsals and the london concerts was to be fashioned into a blockbuster theatrical release which promised to bring in countless millions more.	high
all three house positions represent districts east of the cascades, and each was vacated before the previous occupant's term expired - two by deaths, and one by a promotion.	high
"almaleki was angry with his daughter ""as she had become too 'westernized' and was not living according to [the family's] traditional iraq[i] values,"" peoria police said in a statement last week."	high
alongside speidi, audrina and the rest of the well-tanned cali kids, cavallari reprises the role she stepped into as a teenager on hills precursor 'laguna beach': a flirtatious, manipulative man-eater, all shiny locks and come-hither stares.	high
along the muddy-brown kampar river, there are no kindly school crossing guards, no lumbering yellow buses, no lines of parents jockeying for parking space to deposit their little ones, with last-minute reminders of forgotten books and raincoats.	high
along with the rump of rbs and lloyds, the new banks will continue to be government-owned until at least after the election - and there will be a ban on existing banks buying up the new institutions.	high
