sentence	label
"within the pan-mayan movement, there remains a desire to maintain linguistic diversity: some view the reduction of their language to the status of ""dialect"" devalues their unique identity and place in the mayan world; however, despite differences over standardization, the pan-mayan movement itself is largely cohesive."	high
organized crime was soon to have a formidable adversary in its bid to control las vegas — corporate cash.	low
"""you can't hold on forever, even if you don't ever, ever want to forget. how long until the memories slip away? how long until all you remember is this, the ship, the thick red carpeting, the chandeliers, the empty conversations you hold with the other shells who used to be people? when your life, the reason you lived, the people and faces and places, the emotions you felt, who and what you loved, when all that is gone, faded, what will you have left?"""	low
hong kong's many beaches are especially fun for children.	high
almost half of ireland's population is under twenty-five, and with its universities and professional schools, dublin also has a large student population.	low
kishori chewed her lip.	low
support the emergency effort to save alaska's wolves.	high
since the tram's inauguration in 1888 it has stopped only for typhoons and world war ii.	low
by doing this, you tell the world that you, too, care about what we leave our children — clean water, thriving grassland and wetlands teeming with life and an amazing array of animals, birds and other creatures that share this planet with us.	high
"""call air force headquarters if you don't believe me."""	high
this in turn will help us to increase and even improve the services we offer.	low
he picked up his glass, swirled the liquid around, took a sip, then set the glass back down.	low
john f. brandon, president mccoy, inc.	low
"""an olympic champion."""	high
·win a ban on the usda bird poisoning.	high
nadal wants australian open crown	high
over the past six months, six journalists have been killed and 10 kidnapped by drug traffickers or leftist guerrillas -- who often are one and the same -- in colombia.	low
"""we have many fine cloves of garlic here on the cart, gentle sir."	high
"""do that,"""	high
name address city, st zip	low
new york cannot afford to have a gaping hole that mocks the city and its process for rebuilding what was destroyed.	high
yes, yes, i know, you know of much better places to never throw those seedbombs you haven't made.	high
youngstown was perhaps hit harder than any other town by the collapse of the steel industry, but it was not alone.	low
the 72-par course was designed by dave thomas.	low
please take a moment to look over the enclosed 2001 animal sanctuary calendar.	low
r said... wow!	high
"""we believe it is worse than nothing because it creates the illusion, or the impression, in the public that action is being taken, while we are not really addressing the task at hand, significantly reducing greenhouse gas emissions,"" ms kill told mps."	low
posted by: alkau | wednesday, 26 may 2010 at 11:11 am	low
the casinos have no admission charge and formal dress is optional, though long pants for men are required.	high
i had impressed her because i was famous and amusing and not, as i had hoped, because i was a great artist.	high
she giggled.	low
just call 718-888-4dtv.	low
hammacher schlemmer & co. offers a fiber-optic christmas tree that eliminates the need to string lights.	low
his skin was brown and stretched, like some diseased sapling's bark.	low
the gold-plated sedan chairs on the left-hand side of the temple were once used for transporting the statues of the temple's gods in religious processions.	low
its stately european-style buildings have since been restored, largely for use as government offices and foreign legations.	high
also spurring the move to cloth: diaper covers with velcro fasteners that eliminate the need for safety pins.	high
this remains true even with one of his last compositions, the concerto for orchestra, written two years before his death in 1943.	high
here is the san francisco chefs' menu:	low
tom, i would suggest that all napa wineries, good and bad, benefit from having napa valley on the label; it is indeed a great example of marketing - what you describe as promotional effort.	low
"i thought he was surprised at my dexterity when his jaw dropped, but he shouted, ""no!"" just before everything changed."	low
these beliefs have changed since color technology as tweeked to the point of being almost better than reality.	low
mahoning county was a one-industry area, and the people of youngstown, struthers, campbell, boardman township, and the numerous other small towns and villages in the area only had one main employer: the steel mills.	low
terrorism dominates the agenda, though the possibility of a meeting here between powell and his north korean counterpart, paek nam sun, has generated the most news.	low
hey, roy?	low
"""oh?"""	low
some are blind, deaf or have other physical disabilities.	low
"this is a common technique, but because conservative readers are not familiar with the basics of filmmaking, they believe critics who claim that he is ""distorting"" the interview."	low
"""the french have nothing but the ice dancing,"" the second mobster said."	low
this makes it an excellent and bountiful source of compost, and it was used for generations as a soil enricher.	high
"""but is it true? would you be happy back in a normal life, working and living and crying in the drudgery of whatever the hell normal is these days?"""	high
this life.	low
it is perhaps one of his most famous quotes, shown on national tv even here in germany.	high
dr. evelyn hooker, a heterosexual psychologist, conducted a ground-breaking study in the mid 1950s that went along similar reasoning as freud.	high
on may 23, 2002, mr. chang was convicted of attempting to corruptly persuade a witness to give false testimony, a conspiracy to violate the federal election law and four violations of the federal election law.	low
"""why not?"""	low
"""maybe that's the problem,"" said sarah."	high
"""then why,"""	low
julia child doesn't have much use for fads and trends -- never has.	high
but the campaign was bogged down heavily by the lack of proper funding.	low
the ruling, which does not affect nelson's guilty plea, sends the case back to the trial court for resentencing.	low
the rat pack — originally frank sinatra, dean martin, sammy davis jr. , peter lawford, and joey bishop, all in town to film ocean's 11 — landed at the sands in january 1960 for a legendary stay.	low
or maybe this guy was just a wacko who wanted to take me out on a dark road and kill me.	low
"""maybe the universe will end sooner than you think,"" said jefferson."	low
apparently woody and his 900,000+ fans went poof .	low
charles gibson takes over first place	high
the minister who has a personal website on the internet, further said that he wanted dubai to become the best place in the world for the advanced (hitech) technological companies.	low
"he looked me and at last said, ""very well."""	low
"president bush has now unveiled his long-awaited ""clear skies"" proposal, which he promises will simplify and strengthen the clean air act without crippling american industry."	low
please consider renewing your gift today.	low
months earlier, we might have sought a bed, a couch, or a comfortable chair at this point.	low
in one hand i balanced my plate of star-shaped crackers, globs of elegant dips and garnishes, little rolled balls of meats and cheeses stabbed through with spears of some pale green plant, and an array of other delectable, bite-sized items.	high
it cannot withstand clear-headed scrutiny.	high
we have superceded both the 'brown' of decadence and classiscm and the 'blue' of divisionism, the cult of the blue ky, the gods with green beards and the spectrum.	high
"""it's not environmentalists or chefs making the sacrifice, it's coastal communities."""	low
in fact, american steel imports were beginning to outweigh exports.	high
furniture.	low
through the youth mapping process, it was confirmed that the positive opportunities for youth on weekend evenings were lacking.	low
afghan poppy war alienates farmers	low
here, where east and west first met, life combines the spirit of asia with something of the sunny atmosphere of the mediterranean.	high
it's play.	low
"""there's so much oxygen in this soil, any added compost gets burned up in six weeks. all the nutrients get depleted."""	low
president hosni mubarak of egypt describes himself as america's leading arab ally.	low
remember, for this emergency effort to succeed, we must act immediately.	high
"you look ridiculous with a shaved head."""	high
bike clubs tend to be pretty anarchic, but if you look around your community you'll find both bike riders and shop owners who ride for change.	low
black and white became a symbol for the superiority of man's intellect and technology.	high
your gift is a wise investment in the community.	high
listen to loons.	low
mccoy inc., originally founded as a government agency but re-organized in 1993 as an independent not-for-profit, is a county-wide youth services coordinating, planning, and convening agency.	high
with its garish pagodas, artificial caves, and brightly painted statues of well-known taoist and buddhist legends, the garden is an obvious photo opportunity.	low
2. successful completion of all life skills tests	high
throughout the 500 processing steps, which typically last 20 days, the wafers are not touched by human hands.	low
customary law in colombia contrasts with western law as it maintains a different perception of casual relationships: tying back to the indigenous concept of harmony, crimes are viewed as imbalances in the community's harmony and can often be traced back to those who did not perpetuate the crime, but may have influenced the accused to do so.	low
"""what!"""	low
he looked like jerked meat on the bone.	low
macau's population is estimated at around 450,000, an appallingly high figure for such a small area; recent land reclamation has eased the situation to some extent.	low
two of the court's members, chief justice deborah t. poritz and justice peter g. verniero, did not participate in the nelson case because both are former attorneys general.	low
he didn't look very surprised.	low
but this is not the whole picture.	low
"""those hospitals were not for us."	low
queens and drones will not be considered in this proposal, as their behaviors and design is much more specialized and would be applicable only during the breeding season, which occurs but once per year.	low
regardless of the ulterior motives behind their legal status, indigenous peoples in colombia now possess the rights to teach and govern in their own languages according to their own laws (jackson 1995: 5).	high
dear mr. ratcliff:	low
the university's fung ping shan museum, 94 bonham road (open monday–saturday 9:30am–6pm, admission free) holds a significant collection of antiquities: bronzes, dating from 3000 b.c. , and ceramics, including han dynasty tomb pottery.	high
hundreds more joined the unemployment lines, or even began living on the streets.	low
"""wholesale"""	low
heavy snow causes travel chaos and shuts schools	low
for all of those who are trapped there by their circumstances, there are just as many who insist that they wouldn't live anywhere else.	low
never again shall it see the rosy-fingered dawn!	low
i, too checked out a few listings for under $1,000 and was absolutely shocked at the property taxes.	low
and i still wonder why charles picked me?	low
"remember what she said in my last letter? """	high
it will also be used to help maintain the infrastructure that fosters and supports the development of effective relationships, including volunteer orientation and training and ongoing supervision and support by a professional staff.	high
j.chris graffeo chair	low
raggedy annarchy 01. oct, 2009 at 12:59 pm	low
shortly before noon, i climbed the sandy path to dream's end, rehearsing my apology, slowing only to pluck burrs from between my sandals and my feet.	low
the british population has decreased; today there are as many american and australian ex-pats as there are british.	low
trolley square shooting leaves 6 dead, including gunman	low
and the serious targets have expanded to include civilians in russia, india, maylasia, the philippines, spain, and elsewhere, as well as israel and its sole supporter, the united states.	low
a highlight of the arts calendar is the annual hong kong arts festival, a three-week dose of international culture in february, with concerts, recitals, plays, jazz, chinese opera, and innovative productions put on by leading talent from both east and west.	low
"""it wasn't like new york's or boston's organized crime. it was kids shooting kids. it was a 14-year-old from r street who got his crew of six together and ran their drug block killing another 14-year-old and his crew from a block away. and from the beginning i could see that it was all about jobs. i could see that you needed the private sector involved."""	high
the coalition drafter letters to the lykes company asking if a group of workers might purchase the mill and run it collectively.	high
dan winkler says: july 9, 2010 at 1:29 am	low
she nodded at the package.	low
"""this bill does not amend or alter the federal alcohol administration act (faa act) which provides federal guidelines in many of these areas"""	low
"""bummer."	low
"nevertheless, she gave me what i can only describe as an ""appraising glance""."	low
we've worked hard to structrue the organization so that we've ready to move boldly into the next century, and i believe that we have an exciting and successful future ahead of us.	high
"""hardly."	low
in the u.s. over-the-counter market, american depositary shares for reuters, each representing three shares in the london market, closed unchanged at $43.875.	low
always ask for a receipt that records information about the item, and if you buy an antique, be sure to get a certificate of authentication.	high
no one knows for sure now (although many think they do), and perhaps no one ever will know the whole truth.	low
"""the urgency you feel to make changes is just the extent that change will be made."	high
"i was confused enough i let the ""g word"" slip."	low
but so far he has pushed the point only with the palestinians.	low
eliminating color was a way of eliminating the decadence of the 18th century.	low
zheng looked skeptical.	low
israel insists on lebanon overflights	high
dust can fly into your mouth and eyes very easily.	low
march 3, 2008 11:20 pm	high
that means we now have the opportunity to be a stable, positive and important part of each child's life for an entire decade.	high
"""we recognized that terrorism is a global threat and that the disturbing acts of terrorism and transnational crimes, which continue to threaten world peace and stability, must be tackled by the international community,"" the ministers said in a communique on tuesday."	high
golden buddha statues in several of buddha's aspects adorn the temples, and overlooking them is the 17-story flower pagoda, a slender relic of the song dynasty (a.d. 960–1279).	low
"""i think that our world is a reflection of yours, or yours is a more boring reflection of ours."	low
and with so much animal cruelty and suffering going on, i'm sure you can understand why the work of the humane society of the united states is so vitally important and why we need the support of many other people, like you, to help us bring an end to animal suffering, abuse and neglect.	low
tasha and i walked through the sleeping flamingo together, and i decided to buy it.	high
