sentence	label
10in high bay 4 of the vehicle assembly building at nasa's kennedy space center in florida, technicians maneuver a second roll control system module into place for installation in the ares i-x segment.	high
13in the rotation, processing and surge facility at nasa's kennedy space center in florida, a technician performs propellant grain inspection of the inside of the ares i-x motor segment.	high
15in the vehicle assembly building's high bay 3, a yellow framework, lifts super stack 5 atop super stack 4.	high
16work platforms surround the ares i-x launch vehicle in the vehicle assembly building's high bay 4 at nasa's kennedy space center in florida.	high
17in the vehicle assembly building's high bay 3 at kennedy space center in florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall ares i-x rocket.	high
18the ares i-x rocket, shown in in high bay 3 of kennedy space center's vehicle assembly building is being prepared for this week's launch vehicle readiness test in cape canaveral, fla., monday, oct. 5, 2009.	high
1. bluetooth isn't turned on prior to trying to connect	low
1) check out this random object we found at a thrift store (via the link below).	low
1. i have no clue.	low
1. i know exactly how to convert my itms files to unprottected mp3's (audio hijack pro), but what do i do about videos downloaded on itms (i have a lot of them)?	low
1. is levi johnston screwing with all of us?	low
1) kids love coming here if they enjoy the great outdoors.	low
1) make sure that there is a valid driver for your printer in ubuntu.	low
1. where should we park to do this.	low
$200 million in stimulus funds flows to georgia to update power grid: more than $200 million in federal stimulus money is expected to flow into projects in georgia as part of the obama administration's plans to upgrade the nation's aging electric grid.	high
20the driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall ares i-x rocket at nasa's kennedy space center in florida.	high
22nasa's ares i-x rocket is seen on launch pad 39b at the kennedy space center in cape canaveral, fla., monday, oct. 26, 2009.	high
24the ares 1-x test rocket lifts off on a six-minute suborbital flight from launch pad 39b at the kennedy space center in cape canaveral, florida, october 28, 2009.	high
25nasa's ares 1-x rocket lifts off from launch pad 39-b at the kennedy space center october 28, 2009 in cape canaveral, florida.	high
26a cone of moisture surrounds part of the ares i-x rocket during lift off wednesday, oct. 28, 2009, on a sub-orbital test flight from the kennedy space center's launch pad 39-b in cape canaveral, fla.	high
27the ares 1-x test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39b at the kennedy space center in cape canaveral, florida october 28, 2009.	high
2) create a story about in in 6 words.	low
2. i have read sites detailing how to dual boot os x and dapper, but is there a way to single boot- only dapper?	low
2. is the cave of the winds hard to walk?	low
2) just wipe the mac os x partition when u install the dapper.	low
2. select network printer and use the listbox to choose hp jetdirect.	high
2)there are some pools, but most fun can be had at the great beaches/ponds that we have here.	low
2. well i would try the live cd first, (also called the desktop cd, i don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu.	low
2. what the hell isn't he talking about?	low
3. anyone know about right-clicking on the macbook, with it's one-button mouse?	low
3.) chamber of commerce chief battles obama.	high
3flames shot more than 100 feet high in a successful 5.5-second ground test firing thursday, nov. 20, 2008 of a launch abort motor for nasa's next generation spacecraft, the orion crew exploration vehicle.	high
"3) ""great beer and great wine are on the same team."""	low
3) we choose a winning 6-word story.	low
"3) you have to determine your print queue name, check with netgear for this, i am using dlink di-724p+ and the queue name is ""lp"", so perhaps you would want to have a try with this."	low
4.) are washing machines the new water savers?	low
4nasa and atk successfully conducted an ares i main cluster parachute test at the u.s. army proving grounds in yuma, arizona.	high
"4) ""we find no clear relation between income inequality and class-based voting."""	high
50 kb/s doing scottsdale.az server.	low
5.) harry potter sports an environmental audit.	low
5. leave the port as 9100 (default for me already in box)	low
5)many spas around- try the mirror lake inn	low
5) the winning six-word writer gets to keep all the loot.	low
6:13: so far, we've had a mummy, a cowboy, a ladybug....	low
"6. click the ""forward"" button"	low
7:16: we've been honing our act, and we finally got 4 little girls to laugh.	low
7 florida utilities and tech firm to receive $264 million: energy grants announced tuesday by president obama include $264 million for seven florida utilities and an orlando technology company, with each grant requiring final negotiations and matching contributions.	high
"8. click ""apply."""	low
9in the vehicle assembly building's high bay 3 at nasa's kennedy space center in florida, the ares i-x aft center booster segment is lowered for attachment to the aft booster and skirt.	high
"a $1999 option upgrades the cpu to a ""nehalem"" quad core 2.66ghz core i5 750 processor, or for $200 more, a core i7 860, both of which include 8mb of l3 cache."	high
a 2 room suite or adjacent rooms is great.	low
abbas is fighting a perception among his people that he repeatedly caves in to u.s. demands.	high
